EMAIL,PRODUTO,TIMESTAMP,VALOR_PAGO,UF
user007@gmail.com,Produto50,2021-03-20 21:20:41.448542,130.0,AM
user006@gmail.com,Produto18,2021-03-20 21:24:19.448542,131.0,AP
user002@gmail.com,Produto22,2021-03-20 21:36:54.448542,89.0,PR
user005@gmail.com,Produto23,2021-03-20 21:38:28.448542,191.0,PE
user001@gmail.com,Produto38,2021-03-20 21:47:44.448542,94.0,PB
user003@gmail.com,Produto20,2021-03-20 22:02:32.448542,199.0,MA
user005@gmail.com,Produto8,2021-03-20 22:16:26.448542,138.0,PE
user007@gmail.com,Produto15,2021-03-20 22:19:11.448542,111.0,AM
user008@gmail.com,Produto31,2021-03-20 22:32:21.448542,162.0,MS
user001@gmail.com,Produto47,2021-03-20 22:45:43.448542,163.0,PB
user005@gmail.com,Produto43,2021-03-20 22:59:04.448542,185.0,PE
user008@gmail.com,Produto5,2021-03-20 23:14:57.448542,124.0,MS
user005@gmail.com,Produto3,2021-03-20 23:26:43.448542,182.0,PE
user010@gmail.com,Produto6,2021-03-20 23:27:07.448542,150.0,CE
user003@gmail.com,Produto5,2021-03-20 23:36:40.448542,124.0,MA
user004@gmail.com,Produto38,2021-03-20 23:46:38.448542,94.0,MS
user002@gmail.com,Produto13,2021-03-20 23:52:13.448542,166.0,PR
user001@gmail.com,Produto8,2021-03-21 00:07:42.448542,138.0,PB
user010@gmail.com,Produto44,2021-03-21 00:15:30.448542,153.0,CE
user003@gmail.com,Produto37,2021-03-21 00:27:02.448542,134.0,MA
user007@gmail.com,Produto10,2021-03-21 00:36:47.448542,126.0,AM
user007@gmail.com,Produto22,2021-03-21 00:40:07.448542,89.0,AM
user006@gmail.com,Produto16,2021-03-21 00:44:34.448542,191.0,AP
user010@gmail.com,Produto2,2021-03-21 00:55:32.448542,140.0,CE
user004@gmail.com,Produto36,2021-03-21 00:55:43.448542,130.0,MS
user005@gmail.com,Produto13,2021-03-21 01:11:50.448542,166.0,PE
user002@gmail.com,Produto11,2021-03-21 01:16:49.448542,83.0,PR
user007@gmail.com,Produto20,2021-03-21 01:28:23.448542,199.0,AM
user009@gmail.com,Produto28,2021-03-21 01:37:15.448542,172.0,SE
user003@gmail.com,Produto22,2021-03-21 01:43:11.448542,89.0,MA
user009@gmail.com,Produto20,2021-03-21 01:46:01.448542,199.0,SE
user001@gmail.com,Produto15,2021-03-21 01:49:35.448542,111.0,PB
user003@gmail.com,Produto27,2021-03-21 01:52:57.448542,170.0,MA
user010@gmail.com,Produto24,2021-03-21 01:58:31.448542,87.0,CE
user003@gmail.com,Produto34,2021-03-21 02:04:57.448542,108.0,MA
user007@gmail.com,Produto9,2021-03-21 02:18:30.448542,85.0,AM
user003@gmail.com,Produto25,2021-03-21 02:22:00.448542,139.0,MA
user008@gmail.com,Produto49,2021-03-21 02:36:23.448542,182.0,MS
user007@gmail.com,Produto29,2021-03-21 02:47:17.448542,157.0,AM
user010@gmail.com,Produto6,2021-03-21 03:02:14.448542,150.0,CE
user007@gmail.com,Produto36,2021-03-21 03:05:50.448542,130.0,AM
user010@gmail.com,Produto18,2021-03-21 03:07:49.448542,131.0,CE
user003@gmail.com,Produto24,2021-03-21 03:12:27.448542,87.0,MA
user008@gmail.com,Produto38,2021-03-21 03:26:07.448542,94.0,MS
user008@gmail.com,Produto2,2021-03-21 03:31:25.448542,140.0,MS
user009@gmail.com,Produto36,2021-03-21 03:33:25.448542,130.0,SE
user006@gmail.com,Produto28,2021-03-21 03:36:52.448542,172.0,AP
user007@gmail.com,Produto43,2021-03-21 03:47:39.448542,185.0,AM
user002@gmail.com,Produto48,2021-03-21 04:02:41.448542,196.0,PR
user004@gmail.com,Produto18,2021-03-21 04:16:50.448542,131.0,MS
user002@gmail.com,Produto24,2021-03-21 04:30:32.448542,87.0,PR
user003@gmail.com,Produto12,2021-03-21 04:35:19.448542,130.0,MA
user006@gmail.com,Produto45,2021-03-21 04:41:40.448542,174.0,AP
user008@gmail.com,Produto29,2021-03-21 04:43:05.448542,157.0,MS
user008@gmail.com,Produto21,2021-03-21 04:46:27.448542,83.0,MS
user001@gmail.com,Produto30,2021-03-21 04:53:31.448542,148.0,PB
user008@gmail.com,Produto33,2021-03-21 05:05:42.448542,147.0,MS
user009@gmail.com,Produto16,2021-03-21 05:09:59.448542,191.0,SE
user004@gmail.com,Produto42,2021-03-21 05:14:52.448542,185.0,MS
user006@gmail.com,Produto33,2021-03-21 05:22:00.448542,147.0,AP
user004@gmail.com,Produto29,2021-03-21 05:30:29.448542,157.0,MS
user005@gmail.com,Produto15,2021-03-21 05:36:31.448542,111.0,PE
user007@gmail.com,Produto4,2021-03-21 05:50:41.448542,171.0,AM
user005@gmail.com,Produto34,2021-03-21 05:52:30.448542,108.0,PE
user009@gmail.com,Produto48,2021-03-21 06:04:31.448542,196.0,SE
user003@gmail.com,Produto46,2021-03-21 06:13:39.448542,141.0,MA
user008@gmail.com,Produto13,2021-03-21 06:26:27.448542,166.0,MS
user008@gmail.com,Produto7,2021-03-21 06:37:37.448542,98.0,MS
user003@gmail.com,Produto16,2021-03-21 06:49:29.448542,191.0,MA
user005@gmail.com,Produto2,2021-03-21 07:05:52.448542,140.0,PE
user004@gmail.com,Produto3,2021-03-21 07:13:51.448542,182.0,MS
user007@gmail.com,Produto41,2021-03-21 07:24:12.448542,198.0,AM
user005@gmail.com,Produto4,2021-03-21 07:26:02.448542,171.0,PE
user007@gmail.com,Produto26,2021-03-21 07:35:48.448542,172.0,AM
user008@gmail.com,Produto1,2021-03-21 07:38:49.448542,153.0,MS
user003@gmail.com,Produto12,2021-03-21 07:42:15.448542,130.0,MA
user004@gmail.com,Produto5,2021-03-21 07:52:49.448542,124.0,MS
user005@gmail.com,Produto36,2021-03-21 07:55:38.448542,130.0,PE
user010@gmail.com,Produto16,2021-03-21 08:04:21.448542,191.0,CE
user005@gmail.com,Produto1,2021-03-21 08:12:07.448542,153.0,PE
user002@gmail.com,Produto3,2021-03-21 08:17:36.448542,182.0,PR
user004@gmail.com,Produto6,2021-03-21 08:18:22.448542,150.0,MS
user006@gmail.com,Produto36,2021-03-21 08:20:46.448542,130.0,AP
user002@gmail.com,Produto25,2021-03-21 08:36:45.448542,139.0,PR
user010@gmail.com,Produto36,2021-03-21 08:50:43.448542,130.0,CE
user010@gmail.com,Produto4,2021-03-21 08:56:22.448542,171.0,CE
user004@gmail.com,Produto8,2021-03-21 09:01:40.448542,138.0,MS
user008@gmail.com,Produto47,2021-03-21 09:05:17.448542,163.0,MS
user010@gmail.com,Produto41,2021-03-21 09:16:36.448542,198.0,CE
user005@gmail.com,Produto48,2021-03-21 09:30:05.448542,196.0,PE
user007@gmail.com,Produto10,2021-03-21 09:33:20.448542,126.0,AM
user003@gmail.com,Produto33,2021-03-21 09:40:44.448542,147.0,MA
user002@gmail.com,Produto5,2021-03-21 09:51:00.448542,124.0,PR
user009@gmail.com,Produto23,2021-03-21 10:00:40.448542,191.0,SE
user003@gmail.com,Produto42,2021-03-21 10:03:05.448542,185.0,MA
user002@gmail.com,Produto44,2021-03-21 10:13:06.448542,153.0,PR
user006@gmail.com,Produto3,2021-03-21 10:22:10.448542,182.0,AP
user006@gmail.com,Produto35,2021-03-21 10:33:28.448542,160.0,AP
user004@gmail.com,Produto12,2021-03-21 10:43:57.448542,130.0,MS
user006@gmail.com,Produto10,2021-03-21 10:55:34.448542,126.0,AP
user006@gmail.com,Produto13,2021-03-21 11:11:18.448542,166.0,AP
user004@gmail.com,Produto11,2021-03-21 11:13:15.448542,83.0,MS
user009@gmail.com,Produto23,2021-03-21 11:26:28.448542,191.0,SE
user009@gmail.com,Produto50,2021-03-21 11:40:10.448542,130.0,SE
user001@gmail.com,Produto4,2021-03-21 11:51:06.448542,171.0,PB
user008@gmail.com,Produto29,2021-03-21 12:05:11.448542,157.0,MS
user005@gmail.com,Produto6,2021-03-21 12:13:46.448542,150.0,PE
user009@gmail.com,Produto33,2021-03-21 12:21:57.448542,147.0,SE
user009@gmail.com,Produto33,2021-03-21 12:31:30.448542,147.0,SE
user004@gmail.com,Produto11,2021-03-21 12:46:35.448542,83.0,MS
user002@gmail.com,Produto19,2021-03-21 12:52:48.448542,112.0,PR
user005@gmail.com,Produto24,2021-03-21 12:58:52.448542,87.0,PE
user003@gmail.com,Produto13,2021-03-21 13:03:31.448542,166.0,MA
user005@gmail.com,Produto23,2021-03-21 13:19:12.448542,191.0,PE
user003@gmail.com,Produto2,2021-03-21 13:27:49.448542,140.0,MA
user007@gmail.com,Produto2,2021-03-21 13:44:25.448542,140.0,AM
user003@gmail.com,Produto10,2021-03-21 13:48:22.448542,126.0,MA
user006@gmail.com,Produto31,2021-03-21 13:51:28.448542,162.0,AP
user001@gmail.com,Produto1,2021-03-21 13:56:46.448542,153.0,PB
user004@gmail.com,Produto44,2021-03-21 14:04:32.448542,153.0,MS
user003@gmail.com,Produto29,2021-03-21 14:05:30.448542,157.0,MA
user009@gmail.com,Produto34,2021-03-21 14:08:41.448542,108.0,SE
user003@gmail.com,Produto11,2021-03-21 14:15:23.448542,83.0,MA
user005@gmail.com,Produto12,2021-03-21 14:26:52.448542,130.0,PE
user005@gmail.com,Produto28,2021-03-21 14:40:20.448542,172.0,PE
user003@gmail.com,Produto21,2021-03-21 14:43:32.448542,83.0,MA
user009@gmail.com,Produto29,2021-03-21 14:48:38.448542,157.0,SE
user006@gmail.com,Produto50,2021-03-21 14:49:07.448542,130.0,AP
user008@gmail.com,Produto8,2021-03-21 14:53:19.448542,138.0,MS
user002@gmail.com,Produto25,2021-03-21 15:01:55.448542,139.0,PR
user005@gmail.com,Produto8,2021-03-21 15:03:55.448542,138.0,PE
user009@gmail.com,Produto25,2021-03-21 15:10:55.448542,139.0,SE
user003@gmail.com,Produto10,2021-03-21 15:22:07.448542,126.0,MA
user006@gmail.com,Produto32,2021-03-21 15:36:04.448542,102.0,AP
user002@gmail.com,Produto27,2021-03-21 15:51:40.448542,170.0,PR
user002@gmail.com,Produto47,2021-03-21 15:56:33.448542,163.0,PR
user005@gmail.com,Produto24,2021-03-21 15:58:22.448542,87.0,PE
user001@gmail.com,Produto5,2021-03-21 16:02:33.448542,124.0,PB
user005@gmail.com,Produto16,2021-03-21 16:08:02.448542,191.0,PE
user009@gmail.com,Produto47,2021-03-21 16:16:46.448542,163.0,SE
user004@gmail.com,Produto17,2021-03-21 16:19:19.448542,128.0,MS
user009@gmail.com,Produto30,2021-03-21 16:27:35.448542,148.0,SE
user007@gmail.com,Produto38,2021-03-21 16:36:57.448542,94.0,AM
user006@gmail.com,Produto42,2021-03-21 16:39:36.448542,185.0,AP
user002@gmail.com,Produto39,2021-03-21 16:53:39.448542,146.0,PR
user009@gmail.com,Produto18,2021-03-21 16:54:01.448542,131.0,SE
user010@gmail.com,Produto23,2021-03-21 17:08:49.448542,191.0,CE
user007@gmail.com,Produto50,2021-03-21 17:22:31.448542,130.0,AM
user005@gmail.com,Produto9,2021-03-21 17:25:09.448542,85.0,PE
user005@gmail.com,Produto49,2021-03-21 17:31:14.448542,182.0,PE
user005@gmail.com,Produto4,2021-03-21 17:39:14.448542,171.0,PE
user001@gmail.com,Produto26,2021-03-21 17:48:30.448542,172.0,PB
user004@gmail.com,Produto12,2021-03-21 18:00:58.448542,130.0,MS
user007@gmail.com,Produto19,2021-03-21 18:11:52.448542,112.0,AM
user004@gmail.com,Produto1,2021-03-21 18:24:28.448542,153.0,MS
user010@gmail.com,Produto1,2021-03-21 18:31:27.448542,153.0,CE
user009@gmail.com,Produto40,2021-03-21 18:43:54.448542,87.0,SE
user007@gmail.com,Produto24,2021-03-21 18:49:40.448542,87.0,AM
user007@gmail.com,Produto46,2021-03-21 19:04:56.448542,141.0,AM
user002@gmail.com,Produto33,2021-03-21 19:17:43.448542,147.0,PR
user004@gmail.com,Produto43,2021-03-21 19:27:16.448542,185.0,MS
user002@gmail.com,Produto46,2021-03-21 19:40:40.448542,141.0,PR
user010@gmail.com,Produto50,2021-03-21 19:54:22.448542,130.0,CE
user002@gmail.com,Produto37,2021-03-21 20:03:31.448542,134.0,PR
user006@gmail.com,Produto31,2021-03-21 20:07:55.448542,162.0,AP
