email,produto_id,valor_pago,quando_neo4j,quando
user007@gmail.com,Produto43,185.0,2021-03-21T03:47:39.448542,2021-03-21 03:47:39.448542
user002@gmail.com,Produto48,196.0,2021-03-21T04:02:41.448542,2021-03-21 04:02:41.448542
user004@gmail.com,Produto18,131.0,2021-03-21T04:16:50.448542,2021-03-21 04:16:50.448542
user002@gmail.com,Produto24,87.0,2021-03-21T04:30:32.448542,2021-03-21 04:30:32.448542
user003@gmail.com,Produto12,130.0,2021-03-21T04:35:19.448542,2021-03-21 04:35:19.448542
user006@gmail.com,Produto45,174.0,2021-03-21T04:41:40.448542,2021-03-21 04:41:40.448542
user008@gmail.com,Produto29,157.0,2021-03-21T04:43:05.448542,2021-03-21 04:43:05.448542
user008@gmail.com,Produto21,83.0,2021-03-21T04:46:27.448542,2021-03-21 04:46:27.448542
user008@gmail.com,Produto33,147.0,2021-03-21T05:05:42.448542,2021-03-21 05:05:42.448542
user009@gmail.com,Produto16,191.0,2021-03-21T05:09:59.448542,2021-03-21 05:09:59.448542
user004@gmail.com,Produto42,185.0,2021-03-21T05:14:52.448542,2021-03-21 05:14:52.448542
user006@gmail.com,Produto33,147.0,2021-03-21T05:22:00.448542,2021-03-21 05:22:00.448542
user004@gmail.com,Produto29,157.0,2021-03-21T05:30:29.448542,2021-03-21 05:30:29.448542
user005@gmail.com,Produto15,111.0,2021-03-21T05:36:31.448542,2021-03-21 05:36:31.448542
user007@gmail.com,Produto4,171.0,2021-03-21T05:50:41.448542,2021-03-21 05:50:41.448542
user005@gmail.com,Produto34,108.0,2021-03-21T05:52:30.448542,2021-03-21 05:52:30.448542
user009@gmail.com,Produto48,196.0,2021-03-21T06:04:31.448542,2021-03-21 06:04:31.448542
user003@gmail.com,Produto46,141.0,2021-03-21T06:13:39.448542,2021-03-21 06:13:39.448542
user008@gmail.com,Produto13,166.0,2021-03-21T06:26:27.448542,2021-03-21 06:26:27.448542
user008@gmail.com,Produto7,98.0,2021-03-21T06:37:37.448542,2021-03-21 06:37:37.448542
user003@gmail.com,Produto16,191.0,2021-03-21T06:49:29.448542,2021-03-21 06:49:29.448542
user005@gmail.com,Produto2,140.0,2021-03-21T07:05:52.448542,2021-03-21 07:05:52.448542
user004@gmail.com,Produto3,182.0,2021-03-21T07:13:51.448542,2021-03-21 07:13:51.448542
user007@gmail.com,Produto41,198.0,2021-03-21T07:24:12.448542,2021-03-21 07:24:12.448542
user005@gmail.com,Produto4,171.0,2021-03-21T07:26:02.448542,2021-03-21 07:26:02.448542
user007@gmail.com,Produto26,172.0,2021-03-21T07:35:48.448542,2021-03-21 07:35:48.448542
user008@gmail.com,Produto1,153.0,2021-03-21T07:38:49.448542,2021-03-21 07:38:49.448542
user004@gmail.com,Produto5,124.0,2021-03-21T07:52:49.448542,2021-03-21 07:52:49.448542
user005@gmail.com,Produto36,130.0,2021-03-21T07:55:38.448542,2021-03-21 07:55:38.448542
user010@gmail.com,Produto16,191.0,2021-03-21T08:04:21.448542,2021-03-21 08:04:21.448542
user005@gmail.com,Produto1,153.0,2021-03-21T08:12:07.448542,2021-03-21 08:12:07.448542
user002@gmail.com,Produto3,182.0,2021-03-21T08:17:36.448542,2021-03-21 08:17:36.448542
user004@gmail.com,Produto6,150.0,2021-03-21T08:18:22.448542,2021-03-21 08:18:22.448542
user006@gmail.com,Produto36,130.0,2021-03-21T08:20:46.448542,2021-03-21 08:20:46.448542
user002@gmail.com,Produto25,139.0,2021-03-21T08:36:45.448542,2021-03-21 08:36:45.448542
user010@gmail.com,Produto36,130.0,2021-03-21T08:50:43.448542,2021-03-21 08:50:43.448542
user010@gmail.com,Produto4,171.0,2021-03-21T08:56:22.448542,2021-03-21 08:56:22.448542
user004@gmail.com,Produto8,138.0,2021-03-21T09:01:40.448542,2021-03-21 09:01:40.448542
user008@gmail.com,Produto47,163.0,2021-03-21T09:05:17.448542,2021-03-21 09:05:17.448542
user005@gmail.com,Produto48,196.0,2021-03-21T09:30:05.448542,2021-03-21 09:30:05.448542
user003@gmail.com,Produto33,147.0,2021-03-21T09:40:44.448542,2021-03-21 09:40:44.448542
user002@gmail.com,Produto5,124.0,2021-03-21T09:51:00.448542,2021-03-21 09:51:00.448542
user009@gmail.com,Produto23,191.0,2021-03-21T10:00:40.448542,2021-03-21 10:00:40.448542
user003@gmail.com,Produto42,185.0,2021-03-21T10:03:05.448542,2021-03-21 10:03:05.448542
user002@gmail.com,Produto44,153.0,2021-03-21T10:13:06.448542,2021-03-21 10:13:06.448542
user006@gmail.com,Produto3,182.0,2021-03-21T10:22:10.448542,2021-03-21 10:22:10.448542
user006@gmail.com,Produto35,160.0,2021-03-21T10:33:28.448542,2021-03-21 10:33:28.448542
user004@gmail.com,Produto12,130.0,2021-03-21T10:43:57.448542,2021-03-21 10:43:57.448542
user006@gmail.com,Produto10,126.0,2021-03-21T10:55:34.448542,2021-03-21 10:55:34.448542
user006@gmail.com,Produto13,166.0,2021-03-21T11:11:18.448542,2021-03-21 11:11:18.448542
user004@gmail.com,Produto11,83.0,2021-03-21T11:13:15.448542,2021-03-21 11:13:15.448542
user009@gmail.com,Produto50,130.0,2021-03-21T11:40:10.448542,2021-03-21 11:40:10.448542
user001@gmail.com,Produto4,171.0,2021-03-21T11:51:06.448542,2021-03-21 11:51:06.448542
user005@gmail.com,Produto6,150.0,2021-03-21T12:13:46.448542,2021-03-21 12:13:46.448542
user009@gmail.com,Produto33,147.0,2021-03-21T12:21:57.448542,2021-03-21 12:21:57.448542
user002@gmail.com,Produto19,112.0,2021-03-21T12:52:48.448542,2021-03-21 12:52:48.448542
user005@gmail.com,Produto24,87.0,2021-03-21T12:58:52.448542,2021-03-21 12:58:52.448542
user003@gmail.com,Produto13,166.0,2021-03-21T13:03:31.448542,2021-03-21 13:03:31.448542
user007@gmail.com,Produto2,140.0,2021-03-21T13:44:25.448542,2021-03-21 13:44:25.448542
user003@gmail.com,Produto10,126.0,2021-03-21T13:48:22.448542,2021-03-21 13:48:22.448542
user001@gmail.com,Produto1,153.0,2021-03-21T13:56:46.448542,2021-03-21 13:56:46.448542
user004@gmail.com,Produto44,153.0,2021-03-21T14:04:32.448542,2021-03-21 14:04:32.448542
user003@gmail.com,Produto29,157.0,2021-03-21T14:05:30.448542,2021-03-21 14:05:30.448542
user009@gmail.com,Produto34,108.0,2021-03-21T14:08:41.448542,2021-03-21 14:08:41.448542
user003@gmail.com,Produto11,83.0,2021-03-21T14:15:23.448542,2021-03-21 14:15:23.448542
user005@gmail.com,Produto12,130.0,2021-03-21T14:26:52.448542,2021-03-21 14:26:52.448542
user009@gmail.com,Produto29,157.0,2021-03-21T14:48:38.448542,2021-03-21 14:48:38.448542
user006@gmail.com,Produto50,130.0,2021-03-21T14:49:07.448542,2021-03-21 14:49:07.448542
user008@gmail.com,Produto8,138.0,2021-03-21T14:53:19.448542,2021-03-21 14:53:19.448542
user009@gmail.com,Produto25,139.0,2021-03-21T15:10:55.448542,2021-03-21 15:10:55.448542
user006@gmail.com,Produto32,102.0,2021-03-21T15:36:04.448542,2021-03-21 15:36:04.448542
user002@gmail.com,Produto27,170.0,2021-03-21T15:51:40.448542,2021-03-21 15:51:40.448542
user002@gmail.com,Produto47,163.0,2021-03-21T15:56:33.448542,2021-03-21 15:56:33.448542
user001@gmail.com,Produto5,124.0,2021-03-21T16:02:33.448542,2021-03-21 16:02:33.448542
user005@gmail.com,Produto16,191.0,2021-03-21T16:08:02.448542,2021-03-21 16:08:02.448542
user009@gmail.com,Produto47,163.0,2021-03-21T16:16:46.448542,2021-03-21 16:16:46.448542
user004@gmail.com,Produto17,128.0,2021-03-21T16:19:19.448542,2021-03-21 16:19:19.448542
user009@gmail.com,Produto30,148.0,2021-03-21T16:27:35.448542,2021-03-21 16:27:35.448542
user007@gmail.com,Produto38,94.0,2021-03-21T16:36:57.448542,2021-03-21 16:36:57.448542
user002@gmail.com,Produto39,146.0,2021-03-21T16:53:39.448542,2021-03-21 16:53:39.448542
user010@gmail.com,Produto23,191.0,2021-03-21T17:08:49.448542,2021-03-21 17:08:49.448542
user005@gmail.com,Produto9,85.0,2021-03-21T17:25:09.448542,2021-03-21 17:25:09.448542
user005@gmail.com,Produto49,182.0,2021-03-21T17:31:14.448542,2021-03-21 17:31:14.448542
user001@gmail.com,Produto26,172.0,2021-03-21T17:48:30.448542,2021-03-21 17:48:30.448542
user007@gmail.com,Produto19,112.0,2021-03-21T18:11:52.448542,2021-03-21 18:11:52.448542
user004@gmail.com,Produto1,153.0,2021-03-21T18:24:28.448542,2021-03-21 18:24:28.448542
user010@gmail.com,Produto1,153.0,2021-03-21T18:31:27.448542,2021-03-21 18:31:27.448542
user009@gmail.com,Produto40,87.0,2021-03-21T18:43:54.448542,2021-03-21 18:43:54.448542
user007@gmail.com,Produto24,87.0,2021-03-21T18:49:40.448542,2021-03-21 18:49:40.448542
user007@gmail.com,Produto46,141.0,2021-03-21T19:04:56.448542,2021-03-21 19:04:56.448542
user002@gmail.com,Produto33,147.0,2021-03-21T19:17:43.448542,2021-03-21 19:17:43.448542
user004@gmail.com,Produto43,185.0,2021-03-21T19:27:16.448542,2021-03-21 19:27:16.448542
user010@gmail.com,Produto50,130.0,2021-03-21T19:54:22.448542,2021-03-21 19:54:22.448542
user002@gmail.com,Produto37,134.0,2021-03-21T20:03:31.448542,2021-03-21 20:03:31.448542
